county_fips,year,state,state_po,county_name,office,candidate,party,candidatevotes,totalvotes,version,mode,inctot,mortamt1,avrg_age,ftotinc,foodstmp_1_freq,foodstmp_2_freq,sex_2_freq,sex_1_freq,marst_5_freq,marst_6_freq,marst_1_freq,marst_4_freq,marst_3_freq,marst_2_freq,race_1_freq,race_2_freq,race_7_freq,race_8_freq,race_5_freq,race_6_freq,race_3_freq,race_4_freq,race_9_freq,ctz_stat_1_freq,ctz_stat_3_freq,ctz_stat_2_freq,lang_1_freq,lang_2_freq,educ_attain_2.0_freq,educ_attain_1.0_freq,educ_attain_3.0_freq,educ_attain_4.0_freq,empstat_1.0_freq,empstat_3.0_freq,empstat_2.0_freq
1003,2016,ALABAMA,AL,BALDWIN,US PRESIDENT,DONALD TRUMP,REPUBLICAN,72883,95215,20220315,TOTAL,29012.5,753.4,50.2,58238,92.1,7.9,53.2,46.8,8.5,16.3,58.6,13.4,0.9,2.3,90.2,6.6,0.5,1.4,0.2,0.1,0.7,0.3,0,97.8,0.9,1.3,98,2,50.4,36.5,12.3,0.8,51.4,47.2,1.4
1003,2016,ALABAMA,AL,BALDWIN,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18458,95215,20220315,TOTAL,29012.5,753.4,50.2,58238,92.1,7.9,53.2,46.8,8.5,16.3,58.6,13.4,0.9,2.3,90.2,6.6,0.5,1.4,0.2,0.1,0.7,0.3,0,97.8,0.9,1.3,98,2,50.4,36.5,12.3,0.8,51.4,47.2,1.4
1003,2016,ALABAMA,AL,BALDWIN,US PRESIDENT,OTHER,OTHER,3874,95215,20220315,TOTAL,29012.5,753.4,50.2,58238,92.1,7.9,53.2,46.8,8.5,16.3,58.6,13.4,0.9,2.3,90.2,6.6,0.5,1.4,0.2,0.1,0.7,0.3,0,97.8,0.9,1.3,98,2,50.4,36.5,12.3,0.8,51.4,47.2,1.4
1003,2020,ALABAMA,AL,BALDWIN,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,24578,109679,20220315,TOTAL,30231.5,768.1,51.8,65765.1,93.7,6.3,51.6,48.4,9.5,15.9,61.2,9.2,1.4,2.8,86.9,6.9,1.3,4.1,0.1,0.4,0.1,0.1,0.1,97,1,2,97,3,49.9,37.9,10.6,1.6,47.5,51.1,1.4
1003,2020,ALABAMA,AL,BALDWIN,US PRESIDENT,OTHER,OTHER,1557,109679,20220315,TOTAL,30231.5,768.1,51.8,65765.1,93.7,6.3,51.6,48.4,9.5,15.9,61.2,9.2,1.4,2.8,86.9,6.9,1.3,4.1,0.1,0.4,0.1,0.1,0.1,97,1,2,97,3,49.9,37.9,10.6,1.6,47.5,51.1,1.4
1003,2020,ALABAMA,AL,BALDWIN,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,83544,109679,20220315,TOTAL,30231.5,768.1,51.8,65765.1,93.7,6.3,51.6,48.4,9.5,15.9,61.2,9.2,1.4,2.8,86.9,6.9,1.3,4.1,0.1,0.4,0.1,0.1,0.1,97,1,2,97,3,49.9,37.9,10.6,1.6,47.5,51.1,1.4
1015,2008,ALABAMA,AL,CALHOUN,US PRESIDENT,OTHER,OTHER,560,49242,20220315,TOTAL,20951.6,551.7,47.1,39712.5,89.1,10.9,54.8,45.2,8.7,19.5,54.5,11.5,3,2.8,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0,97.3,1.5,1.2,95.4,4.6,41.1,52.6,5,1.2,54.3,41.1,4.5
1015,2008,ALABAMA,AL,CALHOUN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,16334,49242,20220315,TOTAL,20951.6,551.7,47.1,39712.5,89.1,10.9,54.8,45.2,8.7,19.5,54.5,11.5,3,2.8,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0,97.3,1.5,1.2,95.4,4.6,41.1,52.6,5,1.2,54.3,41.1,4.5
1015,2008,ALABAMA,AL,CALHOUN,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,32348,49242,20220315,TOTAL,20951.6,551.7,47.1,39712.5,89.1,10.9,54.8,45.2,8.7,19.5,54.5,11.5,3,2.8,80.5,17.1,0.1,0.9,0.1,0.7,0.3,0.2,0,97.3,1.5,1.2,95.4,4.6,41.1,52.6,5,1.2,54.3,41.1,4.5
1015,2012,ALABAMA,AL,CALHOUN,US PRESIDENT,BARACK OBAMA,DEMOCRAT,15511,46257,20220315,TOTAL,18614.4,515.3,47.2,39665.4,80,20,52.6,47.4,8.5,22.1,52.6,13.6,2.3,0.9,76.2,21,0,1.4,0.1,0.7,0.6,0,0,98.2,0.9,0.8,97.4,2.6,42.6,51.8,5.2,0.5,46.2,46.2,7.5
1015,2012,ALABAMA,AL,CALHOUN,US PRESIDENT,MITT ROMNEY,REPUBLICAN,30278,46257,20220315,TOTAL,18614.4,515.3,47.2,39665.4,80,20,52.6,47.4,8.5,22.1,52.6,13.6,2.3,0.9,76.2,21,0,1.4,0.1,0.7,0.6,0,0,98.2,0.9,0.8,97.4,2.6,42.6,51.8,5.2,0.5,46.2,46.2,7.5
1015,2012,ALABAMA,AL,CALHOUN,US PRESIDENT,OTHER,OTHER,468,46257,20220315,TOTAL,18614.4,515.3,47.2,39665.4,80,20,52.6,47.4,8.5,22.1,52.6,13.6,2.3,0.9,76.2,21,0,1.4,0.1,0.7,0.6,0,0,98.2,0.9,0.8,97.4,2.6,42.6,51.8,5.2,0.5,46.2,46.2,7.5
1015,2016,ALABAMA,AL,CALHOUN,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,13242,47864,20220315,TOTAL,19852.5,495.9,47.9,43191.2,86,14,53,47,9.5,25.7,49.9,10.2,3.6,1.2,77,19.4,0.2,1.8,0,0.6,0.6,0.4,0,97.3,1.9,0.8,97.5,2.5,41.5,51.6,6,0.8,48.9,46.4,4.7
1015,2016,ALABAMA,AL,CALHOUN,US PRESIDENT,DONALD TRUMP,REPUBLICAN,32865,47864,20220315,TOTAL,19852.5,495.9,47.9,43191.2,86,14,53,47,9.5,25.7,49.9,10.2,3.6,1.2,77,19.4,0.2,1.8,0,0.6,0.6,0.4,0,97.3,1.9,0.8,97.5,2.5,41.5,51.6,6,0.8,48.9,46.4,4.7
1015,2016,ALABAMA,AL,CALHOUN,US PRESIDENT,OTHER,OTHER,1757,47864,20220315,TOTAL,19852.5,495.9,47.9,43191.2,86,14,53,47,9.5,25.7,49.9,10.2,3.6,1.2,77,19.4,0.2,1.8,0,0.6,0.6,0.4,0,97.3,1.9,0.8,97.5,2.5,41.5,51.6,6,0.8,48.9,46.4,4.7
1015,2020,ALABAMA,AL,CALHOUN,US PRESIDENT,OTHER,OTHER,666,50983,20220315,TOTAL,19634.8,484.2,45.3,43477.4,84.2,15.8,56,44,8.8,27.8,44.9,12.4,3.3,2.7,72.8,17,1.1,6.5,0,1.7,0.3,0.2,0.5,97.3,0.9,1.8,96.5,3.5,41.7,49.6,7.9,0.8,46.9,47.6,5.5
1015,2020,ALABAMA,AL,CALHOUN,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,15216,50983,20220315,TOTAL,19634.8,484.2,45.3,43477.4,84.2,15.8,56,44,8.8,27.8,44.9,12.4,3.3,2.7,72.8,17,1.1,6.5,0,1.7,0.3,0.2,0.5,97.3,0.9,1.8,96.5,3.5,41.7,49.6,7.9,0.8,46.9,47.6,5.5
1015,2020,ALABAMA,AL,CALHOUN,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,35101,50983,20220315,TOTAL,19634.8,484.2,45.3,43477.4,84.2,15.8,56,44,8.8,27.8,44.9,12.4,3.3,2.7,72.8,17,1.1,6.5,0,1.7,0.3,0.2,0.5,97.3,0.9,1.8,96.5,3.5,41.7,49.6,7.9,0.8,46.9,47.6,5.5
